,numchilds,meaneduc,overcrowding,isprecarious,Target,walltype,wallquality,floortype,floorqual,roofqual,region,dependency,headescolari,sumelectronics
357,1,8.666667,1.0,0,4,6,3,5,3,3,1,0.3333333333333333,11,4.0
359,0,12.0,0.7,0,4,6,3,3,3,3,1,1.0,9,1.0
364,0,6.0,1.7,0,4,6,1,5,1,1,1,0.6666666666666666,6,5.0
365,2,9.5,2.0,0,4,6,3,5,3,3,1,1.0,8,2.0
370,1,15.0,1.0,0,4,6,3,5,3,3,1,1.0,15,5.0
374,1,7.5,2.0,0,4,5,2,5,3,3,1,1.0,7,6.0
375,0,12.0,1.0,1,3,5,1,5,1,1,1,0.0,9,3.0
379,1,7.75,1.7,0,4,6,3,4,3,3,1,0.25,6,4.0
386,1,18.0,1.2,0,4,6,3,5,3,3,1,1.5,21,4.0
387,0,19.0,0.5,0,4,6,3,5,2,3,1,10.0,19,1.0
389,0,14.5,0.7,0,4,6,3,5,3,3,1,10.0,16,0.0
390,2,17.0,1.3,0,4,6,3,5,3,3,1,1.0,17,4.0
394,0,15.0,0.5,0,4,6,3,5,3,3,1,0.0,15,1.0
395,0,10.0,1.0,0,4,6,3,5,3,3,1,10.0,7,2.0
397,0,10.0,1.0,0,4,5,3,5,3,3,1,1.0,9,1.0
400,0,15.5,1.0,0,4,6,2,5,3,2,1,0.5,8,3.0
405,1,17.0,1.3,0,4,6,3,5,3,3,1,1.0,17,7.0
412,2,8.5,1.4,0,3,6,3,5,3,3,1,2.5,6,5.0
415,0,9.5,1.0,0,4,6,3,5,3,3,1,0.5,8,4.0
416,1,5.5,1.3,0,4,6,3,5,3,3,1,1.0,0,4.0
421,0,10.0,0.5,0,4,6,3,5,3,3,1,10.0,10,1.0
424,0,11.0,1.0,0,4,6,3,5,3,3,1,0.5,8,3.0
426,1,17.0,0.7,0,4,6,2,5,1,2,1,1.0,17,3.0
428,0,16.5,1.2,0,4,6,3,5,3,3,1,0.6666666666666666,14,7.0
432,0,1.0,0.5,0,4,6,3,5,3,1,1,10.0,1,1.0
433,1,8.0,2.0,0,1,1,1,3,2,1,1,1.0,8,1.0
442,4,6.2857141,1.8,0,4,6,2,5,3,2,1,1.2,6,4.0
448,3,6.0,3.0,0,4,6,3,5,3,3,1,1.0,6,1.0
452,0,9.0,0.7,0,4,6,3,5,3,3,1,0.0,6,2.0
454,0,8.0,0.7,0,4,6,3,5,3,2,1,0.0,8,3.0
455,0,23.0,1.0,0,4,6,3,5,3,3,1,0.0,14,3.0
457,0,8.5,2.0,0,4,6,3,5,3,2,1,1.0,6,2.0
459,0,16.0,0.7,0,4,6,3,5,3,3,1,1.0,17,3.0
462,0,10.25,0.8,0,4,6,3,5,3,3,1,1.0,11,1.0
467,0,11.5,1.3,0,4,6,3,5,3,3,1,1.0,6,4.0
472,0,10.5,1.3,0,4,5,3,5,3,3,1,1.0,9,5.0
473,0,9.0,0.7,0,4,6,3,4,3,1,1,10.0,10,2.0
476,0,3.5,0.7,0,4,6,3,5,3,2,1,10.0,2,2.0
477,0,6.0,0.5,0,3,6,2,3,2,1,1,10.0,6,0.0
480,1,8.5,1.5,0,3,6,3,5,3,3,1,0.5,11,2.0
481,1,16.5,1.0,0,4,6,3,5,2,1,1,0.5,19,4.0
485,0,11.5,1.0,0,4,6,1,5,1,1,1,1.0,16,2.0
486,1,11.0,1.5,0,4,6,3,5,3,3,1,0.5,11,2.0
492,0,4.5,1.3,0,2,3,2,5,2,1,1,3.0,5,1.0
493,0,13.0,0.5,0,4,6,3,5,3,3,1,0.0,13,2.0
494,0,7.0,1.5,0,4,6,2,5,2,2,1,2.0,8,3.0
497,0,6.0,1.0,0,3,6,2,5,3,3,1,10.0,6,1.0
498,2,4.5,2.5,0,3,6,3,3,3,3,1,1.5,0,4.0
505,1,10.5,1.5,0,4,6,3,5,3,3,1,0.5,10,2.0
506,0,10.5,1.0,0,4,6,1,4,1,1,1,0.0,15,1.0
509,0,6.5,1.5,0,4,6,1,3,1,1,1,0.5,6,4.0
511,1,4.3333335,1.7,0,2,5,3,5,2,1,1,0.6666666666666666,5,3.0
517,1,10.0,1.3,0,4,6,2,3,3,3,1,1.0,11,3.0
520,1,7.5,1.0,0,2,5,2,3,2,2,1,0.5,6,4.0
523,0,11.0,1.0,0,4,5,2,5,3,2,1,0.0,11,2.0
527,0,8.0,1.3,0,4,6,3,5,2,3,1,0.3333333333333333,6,4.0
528,0,8.0,1.0,0,4,6,3,5,3,1,1,0.0,8,1.0
530,0,3.5,1.0,0,3,6,2,3,2,1,1,1.0,6,2.0
531,0,8.333333,1.5,0,4,6,3,5,3,3,1,0.5,9,4.0
536,1,8.0,1.0,0,3,6,1,3,1,1,1,0.5,7,1.0
541,2,7.0,1.2,0,4,6,3,3,1,1,1,1.0,6,6.0
543,0,14.2,1.2,0,4,6,3,5,3,3,1,0.2,15,8.0
549,0,12.0,1.0,0,4,3,3,4,2,3,1,0.0,9,4.0
553,3,11.5,2.5,0,4,6,2,5,2,2,1,4.0,11,3.0
556,0,9.0,1.0,0,4,6,3,5,3,3,1,0.0,9,1.0
557,0,6.0,0.5,0,2,3,1,3,1,1,1,0.0,6,1.0
558,0,18.5,0.7,0,4,6,3,5,3,3,1,1.0,21,5.0
561,1,17.0,1.5,0,4,5,2,5,2,2,1,0.5,17,4.0
563,0,21.0,0.3,0,4,6,3,5,3,3,1,0.0,21,2.0
564,0,16.0,0.5,0,4,6,3,5,3,3,1,0.0,15,2.0
568,1,4.6666665,1.0,0,4,6,2,3,2,2,1,0.3333333333333333,1,3.0
571,0,17.5,1.0,0,4,6,2,5,3,2,1,0.5,17,6.0
573,0,8.0,1.0,0,4,3,3,5,3,3,1,1.0,8,4.0
577,0,9.25,1.3,0,4,4,2,5,2,2,1,0.0,6,4.0
579,0,6.0,1.0,0,2,4,3,5,3,3,1,1.0,6,2.0
581,0,12.0,0.7,0,4,3,3,5,3,3,1,1.0,15,3.0
583,0,9.0,1.0,0,4,6,3,5,3,3,1,0.0,6,1.0
587,1,9.75,1.2,0,4,6,2,5,2,2,1,0.25,11,4.0
593,0,7.666666499999999,1.5,0,4,4,2,3,2,2,1,0.0,6,2.0
595,0,1.0,1.0,0,4,6,3,5,3,3,1,10.0,1,2.0
597,0,12.0,1.7,0,4,6,3,3,3,3,1,1.5,7,6.0
601,0,2.0,2.0,0,2,3,2,4,2,2,1,10.0,1,1.0
604,0,9.0,1.3,0,3,6,2,5,2,2,1,0.3333333333333333,6,4.0
609,0,10.333333,1.5,0,4,6,3,3,2,2,1,0.0,9,2.0
610,2,9.5,1.3,0,1,6,2,3,2,2,1,1.0,6,1.0
616,1,9.0,1.2,0,4,3,2,5,3,3,1,4.0,4,3.0
622,0,12.0,2.0,0,4,6,3,5,3,3,1,1.0,9,3.0
623,0,17.0,0.5,0,4,4,2,5,3,2,1,10.0,17,7.0
624,0,16.0,1.0,0,4,6,3,5,3,3,1,0.0,17,5.0
631,0,8.6000004,1.4,0,4,4,3,5,3,3,1,0.4,3,5.0
635,1,4.3333335,1.3,0,2,5,3,3,3,3,1,1.0,0,2.0
639,0,12.5,0.7,0,4,6,3,5,3,3,1,10.0,14,2.0
641,2,17.0,1.3,0,4,6,3,5,3,3,1,2.0,17,4.0
645,1,17.5,1.0,0,4,6,3,5,3,3,1,0.5,14,4.0
646,0,12.0,0.3,0,4,6,3,5,3,3,1,10.0,12,3.0
647,0,15.666667000000002,1.5,0,4,6,3,4,3,3,1,0.0,17,4.0
651,0,11.666667,1.5,0,4,6,3,5,3,2,1,0.5,15,3.0
653,0,8.0,0.8,0,4,5,3,5,3,3,1,0.0,9,8.0
655,0,11.0,0.8,0,4,5,3,5,3,3,1,0.0,11,8.0
656,0,11.0,0.8,0,4,5,3,5,3,3,1,0.0,11,8.0
659,1,15.0,1.5,0,4,6,3,5,3,3,1,0.5,15,5.0
660,0,12.0,0.2,0,4,6,3,5,2,3,1,0.0,12,3.0
662,0,14.333332999999998,1.0,0,4,6,3,5,3,1,1,2.0,14,5.0
664,0,14.5,1.0,0,4,6,3,5,3,3,1,10.0,14,4.0
667,0,7.0,2.0,0,2,5,1,5,3,2,1,1.0,11,1.0
671,1,6.0,2.0,0,4,6,2,5,3,3,1,3.0,0,3.0
675,0,5.3333335,1.5,0,4,3,2,5,2,3,1,0.0,3,4.0
676,0,4.0,2.0,0,3,4,2,5,2,2,1,1.0,3,1.0
678,2,9.0,2.5,0,4,6,2,5,3,3,1,0.6666666666666666,11,3.0
686,2,8.5,4.0,0,4,4,2,4,2,3,1,1.0,6,3.0
690,0,11.75,1.0,0,4,6,3,5,3,3,1,0.0,13,6.0
693,0,6.75,1.3,0,4,6,3,5,3,3,1,1.0,2,2.0
695,0,6.5,0.7,0,4,6,3,5,3,3,1,10.0,7,1.0
699,1,15.5,1.0,0,4,6,3,5,3,3,1,0.5,15,4.0
701,0,7.666666499999999,1.0,0,4,6,3,5,3,3,1,0.0,6,3.0
704,0,10.0,1.0,0,4,5,3,5,3,3,1,0.0,10,2.0
705,0,14.0,1.0,0,4,6,3,5,3,3,1,0.0,14,3.0
706,0,15.0,0.3,0,4,6,1,5,3,3,1,0.0,15,1.0
708,0,11.5,1.0,0,4,6,3,5,3,3,1,0.0,9,2.0
710,0,11.666667,2.0,0,2,3,2,5,2,2,1,0.3333333333333333,11,4.0
718,1,10.6,1.8,0,4,6,2,5,2,2,1,0.4,15,7.0
721,0,8.0,0.7,0,4,6,3,5,3,3,1,1.0,10,2.0
722,0,6.0,1.0,0,4,6,2,5,3,3,1,10.0,6,1.0
723,0,3.0,1.0,0,2,5,1,4,1,1,1,0.0,3,1.0
724,0,20.0,0.7,0,4,6,3,5,3,3,1,1.0,11,2.0
729,1,9.75,1.7,0,4,6,3,2,3,2,1,0.6666666666666666,6,4.0
732,0,9.0,1.0,0,4,6,2,4,2,1,1,0.0,6,3.0
734,0,9.25,0.8,0,4,6,3,4,3,3,1,0.3333333333333333,7,4.0
738,2,11.0,1.3,0,4,6,3,5,3,3,1,1.0,11,4.0
743,1,8.5,1.5,0,3,6,3,5,3,3,1,0.5,6,2.0
749,3,10.0,2.3,0,4,6,2,5,3,2,1,0.75,8,5.0
752,0,9.5,1.0,0,4,6,2,5,2,2,1,0.0,10,2.0
755,1,12.666667,0.8,0,4,6,3,5,3,3,1,0.3333333333333333,11,5.0
761,2,8.5,1.0,0,4,6,3,5,3,3,1,1.0,6,4.0
763,0,13.5,1.0,0,4,6,3,4,1,1,1,0.0,16,3.0
764,0,17.0,1.0,0,4,5,2,5,2,2,1,0.0,17,1.0
767,0,11.0,0.8,0,4,6,3,5,3,3,1,0.5,6,5.0
768,0,4.0,1.5,0,4,6,3,5,3,2,1,0.5,0,2.0
774,0,11.333333,1.3,0,4,5,3,5,3,3,1,0.3333333333333333,7,5.0
775,0,7.666666499999999,1.5,0,4,6,3,5,3,3,1,0.0,6,3.0
778,0,5.5,1.0,0,2,5,3,5,3,3,1,1.0,3,1.0
783,0,10.0,1.0,0,4,4,1,5,2,3,1,0.3333333333333333,8,5.0
789,0,12.5,1.5,0,4,6,3,5,3,3,1,0.2,6,6.0
791,0,11.5,1.3,0,4,4,3,4,3,3,1,0.0,9,9.0
796,1,6.0,1.5,0,4,6,1,3,1,1,1,0.5,6,2.0
797,1,17.5,1.5,0,4,6,3,5,3,3,1,0.5,18,3.0
800,0,11.0,0.3,0,4,6,3,5,3,3,1,10.0,11,2.0
804,1,21.0,2.0,0,3,6,3,5,3,3,1,3.0,11,1.0
805,1,9.0,0.7,0,4,6,3,5,3,3,1,1.0,9,3.0
808,1,13.0,2.0,0,4,6,3,5,3,3,1,1.0,15,5.0
812,0,16.0,1.0,0,1,5,3,4,3,3,1,0.5,14,4.0
817,3,7.0,2.0,0,1,6,3,5,3,2,1,3.0,7,1.0
819,0,11.333333,0.8,0,4,5,3,5,3,3,1,0.0,9,6.0
821,1,11.25,1.7,0,4,6,3,5,3,3,1,0.6666666666666666,6,4.0
828,2,5.0,3.0,0,1,4,1,3,1,1,1,2.0,5,1.0
829,0,5.0,2.0,1,2,3,1,4,1,1,1,0.0,5,1.0
831,0,6.0,1.0,1,3,4,1,3,1,1,1,10.0,6,1.0
834,0,7.25,1.8,0,3,3,1,3,1,1,1,0.4,0,2.0
839,0,15.5,1.0,0,4,6,3,5,3,3,1,0.5,11,3.0
845,1,10.5,1.0,0,4,6,3,5,3,3,1,1.0,15,10.0
846,0,15.0,0.3,0,4,6,3,5,3,3,1,0.0,15,2.0
847,0,2.0,1.0,0,4,6,3,5,3,3,1,10.0,2,0.0
848,0,8.0,0.5,0,4,6,3,3,3,3,1,0.0,8,1.0
850,0,8.0,1.0,0,4,6,2,5,3,2,1,0.0,5,2.0
851,0,15.0,0.5,0,4,6,3,5,3,2,1,10.0,15,1.0
856,3,7.5,1.5,0,2,5,3,3,3,3,1,2.0,9,3.0
858,1,15.5,1.5,0,4,5,3,5,3,3,1,0.5,16,3.0
861,1,8.0,2.0,0,4,6,3,5,2,2,1,0.3333333333333333,6,4.0
866,1,9.5,1.5,0,3,6,3,5,3,3,1,0.5,8,2.0
871,2,6.0,2.5,0,2,3,2,3,2,2,1,0.6666666666666666,6,0.0
875,0,6.3333335,1.5,1,4,6,2,5,3,2,1,0.0,6,4.0
876,0,5.0,1.0,0,3,5,3,5,3,3,1,10.0,5,0.0
878,0,8.0,2.0,0,3,3,2,4,3,2,1,1.0,5,3.0
882,0,13.5,0.7,0,4,6,3,5,3,3,1,1.0,16,2.0
883,2,7.5,2.0,0,4,3,3,5,3,3,1,1.0,6,3.0
888,1,7.0,1.0,0,4,6,3,5,3,3,1,1.0,7,2.0
889,0,3.6666667,1.0,0,3,6,3,5,3,3,1,0.5,0,2.0
892,0,6.0,2.0,0,4,6,3,5,3,3,1,1.0,6,2.0
894,0,12.5,1.0,0,4,6,3,5,3,3,1,0.5,10,4.0
898,1,13.0,1.0,0,4,6,3,5,3,3,1,0.5,15,3.0
900,1,14.0,0.8,0,4,6,3,5,3,3,1,0.5,14,4.0
904,0,9.5,1.0,0,4,6,1,3,1,1,1,0.0,11,2.0
906,0,13.0,0.7,0,4,6,3,5,3,3,1,0.0,11,3.0
909,0,12.333333,1.0,0,4,6,3,5,3,3,1,0.0,11,5.0
910,0,5.0,0.5,0,4,2,3,5,3,3,1,0.0,5,1.0
914,2,8.0,2.0,0,1,6,1,5,3,1,1,1.0,7,2.0
916,0,12.0,2.5,0,2,5,1,5,1,1,1,0.6666666666666666,7,4.0
921,0,7.0,1.2,0,4,6,3,5,3,3,1,0.6666666666666666,4,5.0
926,0,12.0,1.5,0,4,5,3,5,3,3,1,0.5,9,5.0
929,0,9.5,0.7,0,4,6,2,5,2,2,1,0.0,6,2.0
930,0,8.75,2.0,0,3,6,2,5,2,3,1,0.5,10,3.0
939,1,11.5,1.3,0,2,6,2,5,3,3,1,1.0,9,4.0
942,0,11.0,0.6,0,4,6,3,5,3,3,1,2.0,11,4.0
944,0,9.666667,1.0,0,4,6,3,5,3,3,1,0.0,6,3.0
946,0,16.0,1.0,0,4,6,3,5,3,3,1,0.0,16,4.0
948,0,14.666667000000002,1.0,0,4,6,3,5,3,3,1,0.0,11,4.0
952,0,15.0,1.0,0,4,6,3,5,3,3,1,0.5,16,5.0
954,0,17.333334,1.2,0,4,6,3,5,3,3,1,0.25,11,8.0
959,0,17.5,1.0,0,4,6,3,5,3,2,1,0.0,12,4.0
961,2,14.0,1.2,0,4,4,2,5,2,2,1,2.0,14,4.0
966,0,7.5,1.7,0,4,6,2,5,3,3,1,0.6666666666666666,8,6.0
969,0,6.0,0.7,0,2,6,3,5,3,2,1,1.0,6,3.0
973,0,4.6666665,1.0,0,3,5,3,5,3,1,1,2.0,3,2.0
976,0,6.5,2.3,0,3,5,2,3,2,2,1,0.0,1,4.0
979,0,11.0,1.0,0,2,5,2,5,3,3,1,1.0,11,2.0
980,0,3.0,1.0,0,4,5,3,5,3,3,1,1.0,0,2.0
983,0,8.0,1.0,1,4,2,2,3,2,3,1,0.0,6,6.0
984,0,6.5,1.0,1,3,6,2,3,2,2,1,0.5,7,3.0
988,2,6.0,1.6,1,1,1,1,5,1,1,1,2.0,6,2.0
993,2,12.0,2.0,0,4,5,3,3,3,2,1,1.0,12,3.0
994,2,8.5,1.7,0,1,5,2,3,2,2,1,1.5,6,2.0
999,0,9.5,2.0,0,4,5,3,3,1,2,1,0.0,11,5.0
1003,0,6.5,1.0,0,4,6,2,4,3,3,1,0.5,3,3.0
1007,1,12.5,1.5,0,4,6,3,5,3,2,1,0.5,14,1.0
1010,0,11.5,2.0,0,2,5,2,4,3,3,1,1.0,10,4.0
1012,1,8.0,1.5,0,1,4,3,3,3,3,1,0.5,8,2.0
1016,0,14.0,1.0,0,4,5,3,5,3,3,1,0.5,21,3.0
1018,0,15.5,0.7,0,4,4,3,4,2,3,1,1.0,15,2.0
1021,1,21.5,1.7,0,4,6,3,5,3,3,1,1.5,17,7.0
1025,0,12.25,1.0,0,4,6,3,5,3,2,1,0.25,11,9.0
1029,0,3.0,0.5,0,4,6,3,5,3,2,1,10.0,3,0.0
1030,0,13.5,1.0,0,4,4,3,4,2,2,1,0.0,13,3.0
1032,0,8.5,1.0,0,4,6,3,5,1,3,1,0.0,6,2.0
1034,0,17.0,1.0,0,2,5,3,5,3,3,1,10.0,17,2.0
1036,0,12.5,1.3,0,4,5,3,5,3,3,1,1.0,8,4.0
1039,0,8.6000004,1.2,0,4,6,2,3,2,2,1,0.0,6,5.0
1045,0,9.5,1.3,0,4,6,3,5,3,3,1,0.0,6,6.0
1048,1,9.5,2.0,0,4,4,1,5,1,1,1,0.5,6,6.0
1054,0,2.0,1.0,0,1,5,2,3,2,2,1,1.0,2,2.0
1057,1,11.0,1.0,0,4,6,3,5,3,3,1,2.0,11,4.0
1059,0,0.0,1.0,0,4,5,3,5,3,3,1,10.0,0,0.0
1061,0,6.0,1.0,0,3,5,2,5,2,2,1,1.0,6,1.0
1062,0,8.8000002,1.2,0,4,5,3,5,3,3,1,0.0,6,5.0
1067,0,11.333333,1.0,0,4,6,3,5,3,3,1,0.0,11,4.0
1070,0,10.666667,1.5,0,1,5,2,5,3,3,1,0.0,15,3.0
1074,0,6.0,1.0,0,4,5,3,5,3,3,1,1.0,6,3.0
1075,0,6.0,0.5,0,4,5,3,5,3,3,1,0.0,6,2.0
1076,0,6.5,0.5,0,4,4,2,4,3,1,1,1.0,2,1.0
1078,1,8.666667,2.0,0,3,6,2,5,3,2,1,0.3333333333333333,7,4.0
1082,1,9.25,2.5,0,4,6,3,5,3,3,1,0.25,11,8.0
1087,0,7.0,1.0,0,2,3,3,5,3,3,1,10.0,7,1.0
1088,0,16.0,0.3,0,1,4,3,4,3,3,1,0.0,16,1.0
1090,0,2.5,1.0,0,4,6,3,3,3,3,1,10.0,2,0.0
1092,0,10.333333,2.5,0,4,6,2,3,2,3,1,0.0,9,6.0
